i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
0	457.568798106	457.568798106	0.0	441.325658289	459.434821473	65.7920479512	-16.2431398172	1.86602336741	65.7920479512
1	451.414291962	463.649941121	7.25981490331	387.479166363	501.60892943	-49.3521883664	-63.9351255989	37.9589883088	-56.6120032697
2	445.185617359	469.658485165	14.5205610358	393.504482791	459.923435718	77.9480045652	-51.6811345674	-9.73504944745	63.4274435294
3	438.881927414	475.595153554	21.7831700484	465.935628687	450.215595786	64.2040235516	27.0537012735	-25.3795577683	42.4208535032
4	432.502333266	481.460629049	29.048574436	525.945807091	494.486450666	41.2571269307	93.4434738256	13.0258216172	12.2085524947
5	426.045903598	487.255554089	36.3177079605	510.253617118	474.67953079	109.715223537	84.2077135199	-12.576023299	73.3975155765
6	419.511664115	492.980530986	43.5915060741	329.158686778	423.092123399	14.011727015	-90.3529773371	-69.8884075869	-29.5797790591
7	412.898596971	498.636122062	50.8709063445	412.858371658	585.104096777	19.091934044	-0.0402253126105	86.4679747144	-31.7789723005
8	406.20564014	504.222849751	58.1568488819	311.932935159	439.191951918	48.970147528	-94.2727049811	-65.0308978336	-9.18670135391
9	399.431686751	509.741196642	65.450276767	419.548526956	522.720273833	115.405173923	20.1168402052	12.9790771904	49.9548971559
10	392.575584352	515.19160548	72.7521364823	383.09926037	537.490173814	117.369376593	-9.47632398207	22.2985683336	44.6172401109
11	385.636134138	520.574479119	80.0633783453	291.530163575	501.943127546	108.89328446	-94.1059705634	-18.6313515729	28.8299061147
12	378.612090114	525.890180423	87.3849569448	335.073438229	426.521838749	140.265397571	-43.5386518855	-99.3683416743	52.8804406264
13	371.502158212	531.139032121	94.7178315805	289.557278697	611.159902766	51.6379145652	-81.944879515	80.0208706452	-43.0799170153
14	364.304995341	536.321316609	102.062966706	327.121810389	480.006477465	200.130954769	-37.1831849523	-56.3148391438	98.0679880624
15	357.019208393	541.437275701	109.421332377	300.992582441	592.835984225	69.3502304121	-56.0266259528	51.3987085247	-40.0711019645
16	349.643353177	546.487110331	116.793904699	316.684100263	635.283574715	117.848615074	-32.9592529139	88.7964643837	1.05471037486
17	342.175933298	551.4709802	124.181666288	314.3748759	468.255466286	59.8927916209	-27.8010573973	-83.2155139141	-64.2888746672
18	334.615398977	556.389003366	131.585606728	367.531226118	522.17302806	227.346986002	32.9158271414	-34.2159753066	95.7613792743
19	326.9601458	561.241255785	139.006723038	405.516022059	652.00628048	90.2380990872	78.5558762598	90.7650246943	-48.7686239505
20	319.208513404	566.02777079	146.446020142	330.962951058	580.912901146	184.992281813	11.7544376542	14.8851303567	38.5462616712
21	311.358784096	570.748538509	153.904511348	242.930514996	540.973457015	175.746655576	-68.4282690995	-29.775081494	21.8421442273
22	303.409181396	575.403505234	161.383218834	288.420927108	664.667651298	78.4701347264	-14.9882542878	89.2641460644	-82.9130841077
23	295.357868515	579.992572715	168.883174132	328.890489219	567.29877237	135.053177324	33.5326207045	-12.6938003446	-33.8299968084
24	287.202946748	584.515597399	176.405418632	354.535418864	628.158728058	132.091365666	67.3324721157	43.6431306597	-44.3140529659
25	278.942453799	588.972389598	183.95100408	366.49095059	678.540616484	239.493846336	87.5484967908	89.5682268862	55.5428422561
26	270.574362014	593.362712592	191.520993098	297.113958798	602.870689105	269.261844095	26.5395967834	9.50797651276	77.7408509975
27	262.096576538	597.68628166	199.116459697	201.484488806	507.662824179	150.968484535	-60.6120877321	-90.0234574804	-48.1479751615
28	253.50693338	601.942763034	206.738489809	237.407157216	621.21188606	251.307511763	-16.0997761642	19.2691230262	44.5690219544
29	244.80319739	606.131772785	214.388181824	315.813258727	697.992422072	314.300943099	71.0100613372	91.8606492873	99.912761275
30	235.983060138	610.252875622	222.066647138	300.578390552	653.307301011	128.431616362	64.5953304138	43.0544253894	-93.6350307758
31	227.044137702	614.305583611	229.775010703	172.704321573	521.871323505	198.5308782	-54.3398161287	-92.434260106	-31.2441325031
32	217.983968341	618.28935481	237.514411601	171.218800635	601.140260638	311.573027677	-46.7651677056	-17.1490941723	74.0586160767
33	208.800010073	622.203591813	245.28600361	139.570872521	646.120257012	188.984349995	-69.2291375518	23.9166651985	-56.3016536149
34	199.489638141	626.047640201	253.090955799	124.750860286	535.685679033	216.095456745	-74.7387778545	-90.361961168	-36.9954990534
35	190.050142352	629.820786891	260.930453117	283.748109671	534.527131441	247.955142567	93.6979673187	-95.2936554494	-12.9753105505
36	180.478724312	633.52225839	268.805697008	243.648885777	674.854961595	282.614891539	63.1701614659	41.3327032054	13.8091945306
37	170.772494518	637.15121894	276.717906025	141.045158898	612.416998944	298.217119888	-29.7273356197	-24.7342199958	21.4992138637
38	160.928469333	640.706768545	284.66831646	156.644491827	671.470320543	307.220708286	-4.28397750566	30.7635519978	22.5523918253
39	150.943567813	644.187940891	292.658182995	156.0686951	736.347864359	204.469285513	5.12512728743	92.1599234679	-88.1888974815
40	140.814608395	647.593701133	300.688779346	110.171653976	705.39207102	299.457234343	-30.6429544185	57.7983698875	-1.23154500289
41	130.538305433	650.922943558	308.761398942	199.622992302	702.097080227	284.095909605	69.0846868692	51.1741366694	-24.6654893371
42	120.111265578	654.174489113	316.877355596	54.3472857248	668.151423665	317.714197714	-65.7639798536	13.9769345519	0.836842118334
43	109.529983994	657.347082788	325.037984206	118.208836356	637.871872443	385.136235996	8.67885236202	-19.4752103453	60.0982517896
44	98.7908403951	660.439390852	333.244641459	150.520068838	609.027106328	296.575852808	51.7292284424	-51.4122845243	-36.6687886515
45	87.8900949136	663.449997925	341.498706551	91.5509009248	638.301292986	267.824393275	3.66080601124	-25.1487049394	-73.6743132761
46	76.8238837684	666.377403891	349.801581922	130.160080239	681.294115169	318.915617752	53.3361964707	14.916711278	-30.8859641708
47	65.5882147413	669.220020633	358.154694006	21.6317858396	702.177803754	275.896503527	-43.9564289017	32.9577831209	-82.2581904785
48	54.1789624426	671.976168582	366.559493988	120.044933773	608.50699324	319.129967154	65.8659713305	-63.4691753416	-47.4295268331
49	42.5918633609	674.644073075	375.017458584	56.1599483352	605.885366724	409.118553588	13.5680849743	-68.7587063512	34.1010950039
50	30.8225106822	677.221860506	383.53009083	99.0963674151	627.81876636	306.262241353	68.2738567329	-49.4030941459	-77.2678494771
51	18.8663488709	679.707554258	392.098920885	-69.7797701038	618.061676346	295.013345609	-88.6461189747	-61.6458779114	-97.0855752753
52	6.71866799772	682.099070409	400.725506844	-62.7248774465	698.166341341	366.101683445	-69.4435454442	16.0672709321	-34.6238233993
53	-5.62540219602	684.394213197	409.411435575	24.1821629486	588.74921493	492.964885436	29.8075651446	-95.644998267	83.5534498608
54	-18.1708985124	686.590670228	418.15832356	76.5519644222	696.657305443	345.718981356	94.7228629345	10.0666352142	-72.439342204
55	-30.9230308022	688.686007414	426.96781775	17.7917752659	749.039386085	522.831259882	48.7148060681	60.3533786709	95.8634421318
56	-43.8871887777	690.677663621	435.841596434	23.9708373027	733.512783149	361.547338117	67.8580260804	42.8351195284	-74.2942583166
57	-57.0689491466	692.562945024	444.781370122	26.4311915849	684.637532517	422.712454767	83.5001407315	-7.92541250671	-22.0689153547
58	-70.4740830861	694.339019132	453.788882433	-101.249292178	689.32324803	395.409269332	-30.7752090919	-5.0157711024	-58.3796131009
59	-84.1085640731	696.002908479	462.865911	8.59872817728	786.505411103	467.763911539	92.7072922503	90.5025026235	4.89800053927
60	-97.978576089	697.551483952	472.014268376	-182.495414392	738.332140244	534.502935226	-84.5168383025	40.7806562922	62.4886668497
61	-112.09052222	698.981457739	481.235802957	-47.4445285575	628.838974451	511.800045785	64.6459936626	-70.1424832879	30.5642428277
62	-126.451033673	700.289375873	490.532399905	-73.4636919518	695.118071227	499.982538145	52.9873417209	-5.17130464625	9.45013823992
63	-141.066979226	701.471610346	499.905982076	-154.520439531	618.093035242	476.480044695	-13.4534603048	-83.3785751047	-23.4259373809
64	-155.945475144	702.524350768	509.358510953	-140.010723242	612.859404246	458.866278618	15.9347519021	-89.6649465217	-50.4922323353
65	-171.093895578	703.443595538	518.891987582	-171.997071119	653.064955716	474.093356808	-0.90317554157	-50.378639822	-44.7986307746
66	-186.519883469	704.225142508	528.508453501	-168.031264388	716.964365873	550.389185768	18.4886190804	12.7392233653	21.8807322673
67	-202.231362002	704.864579096	538.209991665	-187.039981033	715.595681314	449.15049608	15.1913809692	10.7311022178	-89.0594955852
68	-218.236546618	705.357271819	547.998727369	-277.785828145	683.525513981	580.894178127	-59.5492815271	-21.8317578373	32.8954507586
69	-234.543957629	705.698355209	557.876829152	-239.485282387	634.863235912	588.09305856	-4.94132475759	-70.8351192965	30.2162294082
70	-251.162433459	705.882720074	567.84650969	-283.500323456	712.306478108	568.43286206	-32.3378899964	6.42375803346	0.586352369653
71	-268.101144556	705.905001057	577.91002667	-283.195456623	638.72298398	507.053181651	-15.0943120666	-67.1820170776	-70.8568450192
72	-285.369608001	705.759563452	588.069683634	-212.112565878	735.42275	510.395226	73.257042123	29.6631865486	-77.6744576335
73	-302.977702857	705.440489226	598.327830791	-299.217812334	660.096288378	693.477379643	3.759890523	-45.3442008484	95.1495488519
74	-320.935686298	704.941562205	608.686865799	-289.896200085	719.523514495	652.510399078	31.039486213	14.5819522905	43.8235332784
75	-339.254210567	704.256252344	619.149234497	-312.254083043	676.703872317	649.822669327	27.0001275242	-27.5523800273	30.6734348304
76	-357.94434079	703.377699057	629.717431575	-443.240896711	762.982031428	621.952385315	-85.2965559208	59.6043323708	-7.76504626042
77	-377.017573719	702.298693511	640.394001198	-427.469065044	661.761624068	653.498337884	-50.4514913249	-40.5370694425	13.1043366865
78	-396.485857436	701.011659832	651.181537541	-435.835006496	675.085273235	726.735492428	-39.3491490604	-25.9263865973	75.553954887
79	-416.361612076	699.508635153	662.082685249	-425.412613939	652.740861145	658.577960036	-9.05100186292	-46.7677740072	-3.5047252127
80	-436.65775163	697.781248408	673.10013979	-461.055972684	657.796900181	759.868388027	-24.3982210535	-39.9843482276	86.7682482379
81	-457.387706887	695.820697815	684.236647705	-383.383135273	726.509747668	777.85109214	74.0045716145	30.6890498532	93.6144444356
82	-478.565449568	693.617726924	695.49500672	-507.106555599	686.366582015	696.497976865	-28.5411060308	-7.25114490866	1.00297014436
83	-500.205517731	691.162599165	706.878065719	-417.001319116	652.985964601	639.606048589	83.2041986147	-38.1766345644	-67.2720171301
